[INFO] 2025-08-28 21:32:49,889 django.utils.autoreload 5396 132809221986112 Watching for file changes with StatReloader
[INFO] 2025-08-28 21:32:53,694 django.server 5396 132809133909696 "GET / HTTP/1.1" 302 0
[INFO] 2025-08-28 21:32:53,755 dashboards.views 5396 132809133909696 Superuser ivanvallejoss accessing admin dashboard
[INFO] 2025-08-28 21:32:53,756 django.server 5396 132809133909696 "GET /dashboard/ HTTP/1.1" 302 0
[INFO] 2025-08-28 21:32:54,033 django.server 5396 132809133909696 "GET /system/dashboard/ HTTP/1.1" 200 11102
[WARNING] 2025-08-28 21:32:54,812 django.request 5396 132809133909696 Not Found: /favicon.ico
[WARNING] 2025-08-28 21:32:54,813 django.server 5396 132809133909696 "GET /favicon.ico HTTP/1.1" 404 4142
[INFO] 2025-08-28 21:33:00,437 django.server 5396 132809133909696 "GET / HTTP/1.1" 302 0
[INFO] 2025-08-28 21:33:00,476 dashboards.views 5396 132809133909696 Superuser ivanvallejoss accessing admin dashboard
[INFO] 2025-08-28 21:33:00,477 django.server 5396 132809133909696 "GET /dashboard/ HTTP/1.1" 302 0
[INFO] 2025-08-28 21:33:00,552 django.server 5396 132809133909696 "GET /system/dashboard/ HTTP/1.1" 200 11102
[WARNING] 2025-08-28 21:33:07,636 django.request 5396 132809133909696 Not Found: /403
[WARNING] 2025-08-28 21:33:07,637 django.server 5396 132809133909696 "GET /403 HTTP/1.1" 404 4118
[WARNING] 2025-08-28 21:33:15,830 django.request 5396 132809133909696 Not Found: /405
[WARNING] 2025-08-28 21:33:15,831 django.server 5396 132809133909696 "GET /405 HTTP/1.1" 404 4118
[INFO] 2025-08-28 21:33:18,516 django.server 5396 132809133909696 "GET / HTTP/1.1" 302 0
[INFO] 2025-08-28 21:33:18,535 dashboards.views 5396 132809133909696 Superuser ivanvallejoss accessing admin dashboard
[INFO] 2025-08-28 21:33:18,536 django.server 5396 132809133909696 "GET /dashboard/ HTTP/1.1" 302 0
[INFO] 2025-08-28 21:33:18,601 django.server 5396 132809133909696 "GET /system/dashboard/ HTTP/1.1" 200 11102
[WARNING] 2025-08-28 21:33:20,177 django.request 5396 132809133909696 Not Found: /500
[WARNING] 2025-08-28 21:33:20,178 django.server 5396 132809133909696 "GET /500 HTTP/1.1" 404 4118
[INFO] 2025-08-28 21:33:26,187 django.server 5396 132809133909696 "GET / HTTP/1.1" 302 0
[INFO] 2025-08-28 21:33:26,208 dashboards.views 5396 132809133909696 Superuser ivanvallejoss accessing admin dashboard
[INFO] 2025-08-28 21:33:26,208 django.server 5396 132809133909696 "GET /dashboard/ HTTP/1.1" 302 0
[INFO] 2025-08-28 21:33:26,275 django.server 5396 132809133909696 "GET /system/dashboard/ HTTP/1.1" 200 11102
